Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-17 00:00:00+00:00,32.45399856567383,32.45500183105469,32.39699935913086,32.39799880981445,0.0,0.0,0.0
2024-12-17 00:15:00+00:00,32.45500183105469,32.457000732421875,32.395999908447266,32.39799880981445,0.0,0.0,0.0
2024-12-17 00:30:00+00:00,32.45199966430664,32.4640007019043,32.39699935913086,32.457000732421875,0.0,0.0,0.0
2024-12-17 00:45:00+00:00,32.446998596191406,32.4739990234375,32.446998596191406,32.45399856567383,0.0,0.0,0.0
2024-12-17 01:00:00+00:00,32.439998626708984,32.486000061035156,32.439998626708984,32.470001220703125,0.0,0.0,0.0
2024-12-17 01:15:00+00:00,32.47600173950195,32.47999954223633,32.439998626708984,32.45600128173828,0.0,0.0,0.0
2024-12-17 01:30:00+00:00,32.465999603271484,32.481998443603516,32.448001861572266,32.45600128173828,0.0,0.0,0.0
2024-12-17 01:45:00+00:00,32.45600128173828,32.48099899291992,32.44499969482422,32.46500015258789,0.0,0.0,0.0
2024-12-17 02:00:00+00:00,32.45500183105469,32.50299835205078,32.45500183105469,32.46900177001953,0.0,0.0,0.0
2024-12-17 02:15:00+00:00,32.479000091552734,32.518001556396484,32.46699905395508,32.518001556396484,0.0,0.0,0.0
2024-12-17 02:30:00+00:00,32.48500061035156,32.5099983215332,32.481998443603516,32.4900016784668,0.0,0.0,0.0
2024-12-17 02:45:00+00:00,32.499000549316406,32.50899887084961,32.48400115966797,32.49399948120117,0.0,0.0,0.0
2024-12-17 03:00:00+00:00,32.50400161743164,32.5099983215332,32.470001220703125,32.472999572753906,0.0,0.0,0.0
2024-12-17 03:15:00+00:00,32.472999572753906,32.51300048828125,32.457000732421875,32.479000091552734,0.0,0.0,0.0
2024-12-17 03:30:00+00:00,32.46900177001953,32.51499938964844,32.46099853515625,32.46200180053711,0.0,0.0,0.0
2024-12-17 03:45:00+00:00,32.47600173950195,32.50899887084961,32.46200180053711,32.46500015258789,0.0,0.0,0.0
2024-12-17 04:00:00+00:00,32.46500015258789,32.47700119018555,32.4640007019043,32.46500015258789,0.0,0.0,0.0
2024-12-17 04:15:00+00:00,32.46500015258789,32.47800064086914,32.4630012512207,32.47600173950195,0.0,0.0,0.0
2024-12-17 04:30:00+00:00,32.47600173950195,32.47700119018555,32.46200180053711,32.4630012512207,0.0,0.0,0.0
2024-12-17 04:45:00+00:00,32.4739990234375,32.479000091552734,32.4630012512207,32.46500015258789,0.0,0.0,0.0
2024-12-17 05:00:00+00:00,32.46500015258789,32.47800064086914,32.46200180053711,32.46200180053711,0.0,0.0,0.0
2024-12-17 05:15:00+00:00,32.46200180053711,32.474998474121094,32.46099853515625,32.47200012207031,0.0,0.0,0.0
2024-12-17 05:30:00+00:00,32.46200180053711,32.47700119018555,32.45899963378906,32.470001220703125,0.0,0.0,0.0
2024-12-17 05:45:00+00:00,32.470001220703125,32.474998474121094,32.45899963378906,32.4739990234375,0.0,0.0,0.0
2024-12-17 06:00:00+00:00,32.4739990234375,32.507999420166016,32.459999084472656,32.4739990234375,0.0,0.0,0.0
